text	intent	emotion
Hiya!	greeting	none
That’s unrelated	fallback	none
Do you have a phone number?	faq	none
I love this place	other	positive
I don’t understand	fallback	none
Do you serve desserts?	menu	none
Good morning	greeting	none
See you soon	farewell	none
This is terrible	other	negative
What are your business hours?	faq	none
Alright	other	neutral
Can you clarify?	fallback	none
What drinks do you offer?	menu	none
Bye-bye	farewell	none
That sounds delicious	other	positive
Do you have outdoor seating?	faq	none
I regret coming here	other	negative
Goodbye	farewell	none
Makes sense	other	neutral
What seafood dishes do you have?	menu	none
You’re so helpful	other	positive
Say that again?	fallback	none
What’s on the menu?	menu	none
I have a bad day	other	negative
Hi there stranger	greeting	none
I’m lost	fallback	none
Is there a dress code?	faq	none
I’m really happy with this	other	positive
Can I make a reservation?	faq	none
Got it	other	neutral
What’s your address?	faq	none
That’s confusing	fallback	none
Tell me your opening times	faq	none
Take care	farewell	none
That’s okay	other	neutral
What soups do you have?	menu	none
I’m frustrated right now	other	negative
Welcome back!	greeting	none
I’ll keep that in mind	other	neutral
What’s your best-selling dish?	menu	none
This makes me smile	other	positive
Not sure what you mean	fallback	none
Do you serve coffee?	menu	none
I’m upset about this	other	negative
Hey there	greeting	none
Can I see your menu?	menu	none
That was fun, bye!	farewell	none
This is really bad	other	negative
I suppose so	other	neutral
Do you have a wine list?	menu	none
See ya!	farewell	none
I’m feeling great right now	other	positive
Wait, what?	fallback	none
Have a great evening	farewell	none
What time do you close?	faq	none
I hate this	other	negative
That’s reasonable	other	neutral
Where are you located?	faq	none
You’ve made my day	other	positive
Alright then	other	neutral
What dishes do you serve?	menu	none
Can I change my booking?	faq	none
I’m unhappy with this	other	negative
Hey! Nice to see you	greeting	none
What’s that?	fallback	none
Do you have vegetarian options?	faq	none
I’m so disappointed	other	negative
I see what you mean	other	neutral
I really enjoyed that	other	positive
I’ll see you around	farewell	none
That’s the worst	other	negative
Can I make a reservation?	faq	none
I appreciate your help	other	positive
Huh?	fallback	none
Do you offer parking?	faq	none
That’s off-topic	fallback	none
Show me your menu please	menu	none
I’m feeling great right now	other	positive
I’m upset about this	other	negative
Good afternoon	greeting	none
That’s fine	other	neutral
Have a good day	farewell	none
This makes me angry	other	negative
No problem	other	neutral
What are you talking about?	fallback	none
Where are you located?	faq	none
What drinks do you offer?	menu	none
Good evening	greeting	none
I love the atmosphere here	other	positive
Can I get a vegan option?	menu	none
Do you accept walk-ins?	faq	none
I’m frustrated with the service	other	negative
What desserts do you have?	menu	none
That was amazing!	other	positive
Is there outdoor seating?	faq	none
I’m confused about the menu	fallback	none
What time do you open?	faq	none
That’s okay	other	neutral
I’d like to book a table	faq	none
What’s your best dish?	menu	none
I’m really happy with the food	other	positive
Can I change my booking?	faq	none
I don’t understand	fallback	none
Do you have gluten-free meals?	menu	none
Where is the restaurant located?	faq	none
I’m upset about the wait time	other	negative
What’s on the menu today?	menu	none
Hey, how are you?	greeting	none
I wish I never tried that dish	other	negative
Can you explain the specials?	faq	none
I’m feeling good today	other	positive
Do you have a kids’ menu?	faq	none
That doesn’t make sense	fallback	none
Do you have a phone number?	faq	none
Thanks, that was helpful!	other	positive
What kind of drinks do you have?	menu	none
I’m disappointed with the food	other	negative
Hello there	greeting	none
Can I see the wine list?	menu	none
I’m feeling okay today	other	neutral
Is there a dress code?	faq	none
What time do you close?	faq	none
I don’t get that	fallback	none
Can I get a burger?	menu	none
I love this place	other	positive
Do you allow pets?	faq	none
I’m having a bad day	other	negative
Tell me about your food	menu	none
I’m confused	fallback	none
I’ll keep that in mind	other	neutral
Is there parking available?	faq	none
